epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.3,1.32565,3.28021,1.19114,0.00255,0.70272,0.02374,0.01158,1.18328,4.26887,1.12614,0.000545744,0.000545744,0.000545744
2,215.802,1.25508,2.35938,1.14264,0.41315,0.51307,0.38162,0.23401,1.34379,2.83678,1.30026,0.00106506,0.00106506,0.00106506
3,319.827,1.25877,2.03599,1.16302,0.4526,0.65453,0.45735,0.30652,1.19824,2.11936,1.15678,0.00154771,0.00154771,0.00154771
4,421.286,1.20076,1.77981,1.12681,0.43755,0.65152,0.43331,0.29676,1.17974,2.02209,1.10428,0.00150197,0.00150197,0.00150197
5,525.647,1.21012,1.59558,1.12686,0.46164,0.74519,0.47344,0.32485,1.13588,1.58447,1.10057,0.00144696,0.00144696,0.00144696
6,634.748,1.20382,1.52283,1.12256,0.47293,0.76668,0.50523,0.35493,1.08076,1.45604,1.07855,0.00139195,0.00139195,0.00139195
7,744.599,1.11772,1.38467,1.08877,0.44779,0.7472,0.45874,0.31805,1.11286,1.48228,1.09181,0.00133693,0.00133693,0.00133693
8,852.848,1.11405,1.3553,1.07584,0.45951,0.71048,0.46511,0.32235,1.09842,1.44167,1.06836,0.00128192,0.00128192,0.00128192
9,956.751,1.0702,1.31755,1.06743,0.4475,0.82815,0.48811,0.34348,1.09535,1.33124,1.08183,0.00122691,0.00122691,0.00122691
10,1062.03,1.11957,1.28253,1.08685,0.46832,0.83289,0.49179,0.35264,1.04766,1.28521,1.04829,0.0011719,0.0011719,0.0011719
11,1165.28,1.05557,1.20869,1.06232,0.46509,0.82315,0.48608,0.3542,0.99318,1.22119,1.00736,0.00111689,0.00111689,0.00111689
12,1271.8,1.05521,1.2257,1.05762,0.4598,0.82801,0.473,0.35039,0.98808,1.20255,1.02836,0.00106188,0.00106188,0.00106188
13,1379.31,0.99929,1.18538,1.04891,0.44483,0.84587,0.4736,0.34897,1.00408,1.24306,1.03886,0.00100687,0.00100687,0.00100687
14,1488.51,1.01906,1.18158,1.0438,0.45752,0.81665,0.46968,0.34393,0.98667,1.2488,1.04558,0.000951857,0.000951857,0.000951857
15,1597.17,1.01585,1.16487,1.03768,0.46968,0.8109,0.4737,0.33703,1.05778,1.26082,1.08163,0.000896846,0.000896846,0.000896846
16,1695.62,0.98822,1.14055,1.03676,0.45432,0.86311,0.47017,0.34293,1.00039,1.28253,1.03337,0.000841835,0.000841835,0.000841835
17,1805.75,0.99795,1.13679,1.03251,0.4694,0.86711,0.47396,0.35361,0.93197,1.18259,1.01104,0.000786824,0.000786824,0.000786824
18,1911.73,0.96306,1.09838,1.00905,0.43116,0.8811,0.45566,0.33417,0.98017,1.38916,1.03877,0.000731813,0.000731813,0.000731813
19,2023.97,0.98297,1.08956,1.02487,0.44492,0.88301,0.47314,0.34985,0.9791,1.22661,1.01964,0.000676802,0.000676802,0.000676802
20,2131.49,0.93148,1.0728,1.01409,0.45079,0.88909,0.48787,0.36282,0.94837,1.11082,1.01063,0.000621791,0.000621791,0.000621791
21,2234.02,0.8955,1.01953,1.01607,0.44146,0.88132,0.49139,0.35935,0.99878,1.15343,1.01636,0.00056678,0.00056678,0.00056678
22,2332.33,0.87404,1.00117,0.98264,0.42175,0.89742,0.44339,0.31827,0.96689,1.1797,1.00989,0.000511769,0.000511769,0.000511769
23,2435.49,0.85876,0.98618,0.97823,0.44962,0.8811,0.46388,0.3425,0.94187,1.13434,1.00224,0.000456758,0.000456758,0.000456758
24,2543.02,0.86026,0.95515,0.97435,0.45101,0.87759,0.48558,0.35622,0.95627,1.13598,1.00935,0.000401747,0.000401747,0.000401747
25,2644.28,0.84103,0.9495,0.96799,0.44581,0.87535,0.47062,0.35342,0.928,1.24818,1.0035,0.000346736,0.000346736,0.000346736
26,2744.03,0.82966,0.92656,0.96887,0.42859,0.88701,0.47103,0.3505,0.933,1.19615,0.99741,0.000291725,0.000291725,0.000291725
27,2850.03,0.79903,0.89913,0.95715,0.41226,0.87312,0.43697,0.32145,0.93839,1.32546,1.00484,0.000236714,0.000236714,0.000236714
28,2958.23,0.79577,0.86491,0.95296,0.42764,0.87386,0.44618,0.33014,0.91797,1.29535,1.0053,0.000181703,0.000181703,0.000181703
29,3061.43,0.76422,0.82764,0.9403,0.42884,0.89257,0.45541,0.33392,0.92603,1.29734,1.0098,0.000126692,0.000126692,0.000126692
30,3169.61,0.76773,0.81551,0.94213,0.45146,0.8901,0.46437,0.3455,0.90864,1.23761,0.9963,7.1681e-05,7.1681e-05,7.1681e-05
